"DeviceNumber" "UserId" "Block" "Sequence" "CircleID" "ErrorRate" "TRE" "TAC" "MDC" "ODC" "MV" "ME" "MO" "ClickPointX" "ClickPointY" "MovementTime" "TargetWidth" "Distance" "CalculatedDistance"
0 24 1 1 1 0.5 2 4 15 4 11.7793598909249 11.0529470297985 7.06124873001913 718.016906496894 -0.849696787569079 1.815 60 700 692.011560597076
0 24 1 1 2 0.666666666666667 0 1 11 9 14.3271205819878 17.4190974304428 16.9113690833751 686.8915281406 -6.32681346895714 1.715 60 700 712.52298208549
0 24 1 1 3 0 0 1 2 0 14.9533699211009 15.1533530414629 -12.2280149513746 695.189810866568 10.3984069600002 0.797 60 700 675.776590301854
0 24 1 1 4 0 0 3 8 2 10.3621889609698 8.63012816457628 5.20803946891207 681.418758246187 -7.38077978430732 1.12 60 700 700.874453807528
0 24 1 1 5 0 0 0 3 0 9.76395983458935 15.7549384763364 -15.7549384763364 700.02803527225 -3.57069081190349 0.896 60 700 695.103589402328
0 24 1 1 6 0 0 1 6 0 6.21753763236703 5.24690193112245 0.000376412818960148 675.43202561286 -6.4481607074427 0.879 60 700 683.140541909203
0 24 1 1 7 0 0 1 1 2 18.2084812676707 25.7594756210279 -25.0306986222039 687.06071427679 6.60112849947086 0.939 60 700 692.002890167375
0 24 1 1 8 0 0 0 10 0 4.13926012112793 12.1525216373196 12.1525216373196 685.54392867838 15.4764935373523 0.793 60 700 684.328137664965
0 24 1 1 9 0 0 0 3 2 30.7768252516602 39.145341249701 -39.145341249701 686.036055537374 -5.61520282106046 1.001 60 700 704.159783003829
0 24 1 1 10 0 0 1 4 0 9.79400632266569 8.52071481949146 2.35049042693969 643.450868855092 2.82477780143996 0.8 60 700 668.371154374574
0 24 1 1 11 0 0 0 7 2 12.8854155166655 24.8127052776757 -24.8127052776757 678.914198679522 -4.84879689643225 1.057 60 700 677.693883696762
0 24 1 1 12 0 0 2 3 0 14.2211087013417 23.6869402520973 23.6451202154362 674.366320407218 14.3549956610856 0.839 60 700 678.230786679579
