"NumberDevice" "UserId" "Block" "Sequence" "NumberClicks" "NumberCircles" "CircleID" "DistanceCenter" "PixelStartCircleX" "PixelStartCircleY" "PixelEndCircleX" "PixelEndCircleY" "TargetWidth" "ElapsedTime" "MouseX" "MouseY" "targetx" "targety" "rx" "ry" "inside"
1 24 1 1 1 16 1 350 799 100 800 800 60 908 813 246 554.152506084742 5.50670620214078e-14 0 0 FALSE
1 24 1 1 1 16 1 350 799 100 800 800 60 908 818 313 554.152506084742 5.50670620214078e-14 66.8642649688456 -6.57039345671245 FALSE
1 24 1 1 1 16 1 350 799 100 800 800 60 908 833 487 554.152506084742 5.50670620214078e-14 240.464490436903 -25.6481741829866 FALSE
1 24 1 1 1 16 1 350 799 100 800 800 60 908 844 558 554.152506084742 5.50670620214078e-14 311.186899105405 -38.3107533880817 FALSE
1 24 1 1 1 16 1 350 799 100 800 800 60 908 850 595 554.152506084742 5.50670620214078e-14 348.035961007649 -45.1770942567416 FALSE
1 24 1 1 1 16 1 350 799 100 800 800 60 908 850 599 554.152506084742 5.50670620214078e-14 352.03486018372 -45.2709312410177 FALSE
1 24 1 1 1 16 1 350 799 100 800 800 60 908 850 605 554.152506084742 5.50670620214078e-14 358.033208947826 -45.4116867174317 FALSE
1 24 1 1 1 16 1 350 799 100 800 800 60 908 850 605 554.152506084742 5.50670620214078e-14 358.033208947826 -45.4116867174317 FALSE
1 24 1 1 1 16 1 350 799 100 800 800 60 908 844 593 554.152506084742 5.50670620214078e-14 346.177266896027 -39.131827000497 FALSE
1 24 1 1 1 16 1 350 799 100 800 800 60 908 844 593 554.152506084742 5.50670620214078e-14 346.177266896027 -39.131827000497 FALSE
1 24 1 1 1 16 1 350 799 100 800 800 60 908 844 593 554.152506084742 5.50670620214078e-14 346.177266896027 -39.131827000497 FALSE
1 24 1 1 1 16 1 350 799 100 800 800 60 908 844 593 554.152506084742 5.50670620214078e-14 346.177266896027 -39.131827000497 FALSE
1 24 1 1 1 16 1 350 799 100 800 800 60 908 844 593 554.152506084742 5.50670620214078e-14 346.177266896027 -39.131827000497 FALSE
1 24 1 1 1 16 1 350 799 100 800 800 60 908 844 592 554.152506084742 5.50670620214078e-14 345.177542102009 -39.108367754428 FALSE
1 24 1 1 1 16 1 350 799 100 800 800 60 908 844 585 554.152506084742 5.50670620214078e-14 338.179468543885 -38.9441530319449 FALSE
1 24 1 1 1 16 1 350 799 100 800 800 60 908 844 585 554.152506084742 5.50670620214078e-14 338.179468543885 -38.9441530319449 FALSE
1 24 1 1 1 16 1 350 799 100 800 800 60 908 832 613 554.152506084742 5.50670620214078e-14 366.453273729211 -27.6043143936639 FALSE
1 24 1 1 1 16 1 350 799 100 800 800 60 908 813 716 554.152506084742 5.50670620214078e-14 469.870653188352 -11.0258456524342 FALSE
1 24 1 1 1 16 1 350 799 100 800 800 60 908 813 765 554.152506084742 5.50670620214078e-14 518.857168095223 -12.1753487098156 FALSE
1 24 1 1 1 16 1 350 799 100 800 800 60 908 817 819 554.152506084742 5.50670620214078e-14 572.748469987907 -17.4410471736132 TRUE
1 24 1 1 1 16 1 350 799 100 800 800 60 908 819 824 554.152506084742 5.50670620214078e-14 577.700175465857 -19.5577929919938 FALSE
1 24 1 1 1 16 1 350 799 100 800 800 60 908 820 824 554.152506084742 5.50670620214078e-14 577.676716219788 -20.5575177860116 FALSE
1 24 1 1 1 16 1 350 799 100 800 800 60 908 820 824 554.152506084742 5.50670620214078e-14 577.676716219788 -20.5575177860116 FALSE
1 24 1 1 1 16 1 350 799 100 800 800 60 908 820 818 554.152506084742 5.50670620214078e-14 571.678367455682 -20.4167623095975 TRUE
1 24 1 1 1 16 1 350 799 100 800 800 60 908 822 815 554.152506084742 5.50670620214078e-14 568.63227458149 -22.345834159426 TRUE
1 24 1 1 1 16 1 350 799 100 800 800 60 908 826 808 554.152506084742 5.50670620214078e-14 561.54036403909 -26.180518613014 TRUE
1 24 1 1 1 16 1 350 799 100 800 800 60 908 827 805 554.152506084742 5.50670620214078e-14 558.517730410968 -27.1098656688248 TRUE
1 24 1 1 1 16 1 350 799 100 800 800 60 908 827 794 554.152506084742 5.50670620214078e-14 547.520757676772 -26.8518139620657 TRUE
1 24 1 1 1 16 1 350 799 100 800 800 60 908 827 790 554.152506084742 5.50670620214078e-14 543.521858500701 -26.7579769777897 TRUE
1 24 1 1 1 16 1 350 799 100 800 800 60 908 827 788 554.152506084742 5.50670620214078e-14 541.522408912665 -26.7110584856516 TRUE
1 24 1 1 1 16 1 350 799 100 800 800 60 908 827 788 554.152506084742 5.50670620214078e-14 541.522408912665 -26.7110584856516 TRUE
1 24 1 1 1 16 1 350 799 100 800 800 60 908 827 788 554.152506084742 5.50670620214078e-14 541.522408912665 -26.7110584856516 TRUE
1 24 1 1 1 16 1 350 799 100 800 800 60 908 827 788 554.152506084742 5.50670620214078e-14 541.522408912665 -26.7110584856516 TRUE
1 24 1 1 1 16 1 350 799 100 800 800 60 908 820 794 554.152506084742 5.50670620214078e-14 547.684972399255 -19.8537404039413 TRUE
1 24 1 1 1 16 1 350 799 100 800 800 60 908 818 795 554.152506084742 5.50670620214078e-14 548.731615685411 -17.8777500619748 TRUE
1 24 1 1 1 16 1 350 799 100 800 800 60 908 817 796 554.152506084742 5.50670620214078e-14 549.754799725498 -16.901484514026 TRUE
1 24 1 1 1 16 2 350 800 800 933 126 60 776 817 796 679.967646289145 2.8421709430404e-14 0 0 FALSE
1 24 1 1 1 16 2 350 800 800 933 126 60 776 974 266 679.967646289145 2.8421709430404e-14 549.014356840818 64.2824702594939 FALSE
1 24 1 1 1 16 2 350 800 800 933 126 60 776 974 266 679.967646289145 2.8421709430404e-14 549.014356840818 64.2824702594939 FALSE
1 24 1 1 1 16 2 350 800 800 933 126 60 776 970 266 679.967646289145 2.8421709430404e-14 548.331971432436 60.341106262801 FALSE
1 24 1 1 1 16 2 350 800 800 933 126 60 776 956 264 679.967646289145 2.8421709430404e-14 547.914304501443 46.2051395701848 FALSE
1 24 1 1 1 16 2 350 800 800 933 126 60 776 944 261 679.967646289145 2.8421709430404e-14 548.823171273815 33.8692585238194 FALSE
1 24 1 1 1 16 2 350 800 800 933 126 60 776 943 259 679.967646289145 2.8421709430404e-14 550.623256920065 32.5427248204549 FALSE
1 24 1 1 1 16 2 350 800 800 933 126 60 776 938 251 679.967646289145 2.8421709430404e-14 557.653003152973 26.2512490078235 FALSE
1 24 1 1 1 16 2 350 800 800 933 126 60 776 935 242 679.967646289145 2.8421709430404e-14 566.009283089244 21.759858841443 FALSE
1 24 1 1 1 16 2 350 800 800 933 126 60 776 963 92 679.967646289145 2.8421709430404e-14 718.587130823904 23.7599540039438 FALSE
1 24 1 1 1 16 2 350 800 800 933 126 60 776 987 25 679.967646289145 2.8421709430404e-14 788.699290218805 35.9781823936916 FALSE
1 24 1 1 1 16 2 350 800 800 933 126 60 776 995 11 679.967646289145 2.8421709430404e-14 803.858835023995 41.472561457738 FALSE
1 24 1 1 1 16 2 350 800 800 933 126 60 776 995 11 679.967646289145 2.8421709430404e-14 803.858835023995 41.472561457738 FALSE
1 24 1 1 1 16 2 350 800 800 933 126 60 776 995 11 679.967646289145 2.8421709430404e-14 803.858835023995 41.472561457738 FALSE
1 24 1 1 1 16 2 350 800 800 933 126 60 776 995 13 679.967646289145 2.8421709430404e-14 801.888153025648 41.8137541619293 FALSE
1 24 1 1 1 16 2 350 800 800 933 126 60 776 995 16 679.967646289145 2.8421709430404e-14 798.932130028129 42.3255432182163 FALSE
1 24 1 1 1 16 2 350 800 800 933 126 60 776 990 23 679.967646289145 2.8421709430404e-14 791.181761273438 38.5930126870199 FALSE
1 24 1 1 1 16 2 350 800 800 933 126 60 776 961 62 679.967646289145 2.8421709430404e-14 747.806168094909 16.6713814427276 FALSE
1 24 1 1 1 16 2 350 800 800 933 126 60 776 947 77 679.967646289145 2.8421709430404e-14 730.637704177972 5.4355527357376 FALSE
1 24 1 1 1 16 2 350 800 800 933 126 60 776 938 86 679.967646289145 2.8421709430404e-14 720.234268016552 -1.89714908796032 FALSE
1 24 1 1 1 16 2 350 800 800 933 126 60 776 936 90 679.967646289145 2.8421709430404e-14 715.951711315668 -3.18544567792409 FALSE
1 24 1 1 1 16 2 350 800 800 933 126 60 776 934 96 679.967646289145 2.8421709430404e-14 709.698472616437 -4.13254956369656 FALSE
1 24 1 1 1 16 2 350 800 800 933 126 60 776 933 99 679.967646289145 2.8421709430404e-14 706.571853266822 -4.60610150658277 TRUE
1 24 1 1 1 16 2 350 800 800 933 126 60 776 932 100 679.967646289145 2.8421709430404e-14 705.415915915553 -5.42084615366032 TRUE
1 24 1 1 1 16 2 350 800 800 933 126 60 776 932 100 679.967646289145 2.8421709430404e-14 705.415915915553 -5.42084615366032 TRUE
1 24 1 1 1 16 2 350 800 800 933 126 60 776 932 100 679.967646289145 2.8421709430404e-14 705.415915915553 -5.42084615366032 TRUE
1 24 1 1 1 16 2 350 800 800 933 126 60 776 932 100 679.967646289145 2.8421709430404e-14 705.415915915553 -5.42084615366032 TRUE
