NumberDevice UserId Block Sequence NumberClicks NumberCircles CircleID DistanceCenter PixelStartCircleX PixelStartCircleY PixelEndCircleX PixelEndCircleY TargetWidth ElapsedTime MouseX MouseY
1 24 1 1 1 16 1 350 799 100 800 800 60 908 813 246
1 24 1 1 1 16 1 350 799 100 800 800 60 908 818 313
1 24 1 1 1 16 1 350 799 100 800 800 60 908 833 487
1 24 1 1 1 16 1 350 799 100 800 800 60 908 844 558
1 24 1 1 1 16 1 350 799 100 800 800 60 908 850 595
1 24 1 1 1 16 1 350 799 100 800 800 60 908 850 599
1 24 1 1 1 16 1 350 799 100 800 800 60 908 850 605
1 24 1 1 1 16 1 350 799 100 800 800 60 908 850 605
1 24 1 1 1 16 1 350 799 100 800 800 60 908 844 593
1 24 1 1 1 16 1 350 799 100 800 800 60 908 844 593
1 24 1 1 1 16 1 350 799 100 800 800 60 908 844 593
1 24 1 1 1 16 1 350 799 100 800 800 60 908 844 593
1 24 1 1 1 16 1 350 799 100 800 800 60 908 844 593
1 24 1 1 1 16 1 350 799 100 800 800 60 908 844 592
1 24 1 1 1 16 1 350 799 100 800 800 60 908 844 585
1 24 1 1 1 16 1 350 799 100 800 800 60 908 844 585
1 24 1 1 1 16 1 350 799 100 800 800 60 908 832 613
1 24 1 1 1 16 1 350 799 100 800 800 60 908 813 716
1 24 1 1 1 16 1 350 799 100 800 800 60 908 813 765
1 24 1 1 1 16 1 350 799 100 800 800 60 908 817 819
1 24 1 1 1 16 1 350 799 100 800 800 60 908 819 824
1 24 1 1 1 16 1 350 799 100 800 800 60 908 820 824
1 24 1 1 1 16 1 350 799 100 800 800 60 908 820 824
1 24 1 1 1 16 1 350 799 100 800 800 60 908 820 818
1 24 1 1 1 16 1 350 799 100 800 800 60 908 822 815
1 24 1 1 1 16 1 350 799 100 800 800 60 908 826 808
1 24 1 1 1 16 1 350 799 100 800 800 60 908 827 805
1 24 1 1 1 16 1 350 799 100 800 800 60 908 827 794
1 24 1 1 1 16 1 350 799 100 800 800 60 908 827 790
1 24 1 1 1 16 1 350 799 100 800 800 60 908 827 788
1 24 1 1 1 16 1 350 799 100 800 800 60 908 827 788
1 24 1 1 1 16 1 350 799 100 800 800 60 908 827 788
1 24 1 1 1 16 1 350 799 100 800 800 60 908 827 788
1 24 1 1 1 16 1 350 799 100 800 800 60 908 820 794
1 24 1 1 1 16 1 350 799 100 800 800 60 908 818 795
1 24 1 1 1 16 1 350 799 100 800 800 60 908 817 796
1 24 1 1 1 16 2 350 800 800 933 126 60 776 817 796
1 24 1 1 1 16 2 350 800 800 933 126 60 776 974 266
1 24 1 1 1 16 2 350 800 800 933 126 60 776 974 266
1 24 1 1 1 16 2 350 800 800 933 126 60 776 970 266
1 24 1 1 1 16 2 350 800 800 933 126 60 776 956 264
1 24 1 1 1 16 2 350 800 800 933 126 60 776 944 261
1 24 1 1 1 16 2 350 800 800 933 126 60 776 943 259
1 24 1 1 1 16 2 350 800 800 933 126 60 776 938 251
1 24 1 1 1 16 2 350 800 800 933 126 60 776 935 242
1 24 1 1 1 16 2 350 800 800 933 126 60 776 963 92
1 24 1 1 1 16 2 350 800 800 933 126 60 776 987 25
1 24 1 1 1 16 2 350 800 800 933 126 60 776 995 11
1 24 1 1 1 16 2 350 800 800 933 126 60 776 995 11
1 24 1 1 1 16 2 350 800 800 933 126 60 776 995 11
1 24 1 1 1 16 2 350 800 800 933 126 60 776 995 13
1 24 1 1 1 16 2 350 800 800 933 126 60 776 995 16
1 24 1 1 1 16 2 350 800 800 933 126 60 776 990 23
1 24 1 1 1 16 2 350 800 800 933 126 60 776 961 62
1 24 1 1 1 16 2 350 800 800 933 126 60 776 947 77
1 24 1 1 1 16 2 350 800 800 933 126 60 776 938 86
1 24 1 1 1 16 2 350 800 800 933 126 60 776 936 90
1 24 1 1 1 16 2 350 800 800 933 126 60 776 934 96
1 24 1 1 1 16 2 350 800 800 933 126 60 776 933 99
1 24 1 1 1 16 2 350 800 800 933 126 60 776 932 100
1 24 1 1 1 16 2 350 800 800 933 126 60 776 932 100
1 24 1 1 1 16 2 350 800 800 933 126 60 776 932 100
1 24 1 1 1 16 2 350 800 800 933 126 60 776 932 100
1 24 1 1 1 16 2 350 800 800 933 126 60 776 934 103
1 24 1 1 1 16 2 350 800 800 933 126 60 776 937 104
1 24 1 1 1 16 2 350 800 800 933 126 60 776 938 106
1 24 1 1 1 16 2 350 800 800 933 126 60 776 938 107
1 24 1 1 1 16 3 350 933 126 666 773 60 783 856 561
1 24 1 1 1 16 3 350 933 126 666 773 60 783 854 656
1 24 1 1 1 16 3 350 933 126 666 773 60 783 829 773
1 24 1 1 1 16 3 350 933 126 666 773 60 783 824 780
1 24 1 1 1 16 3 350 933 126 666 773 60 783 816 784
1 24 1 1 1 16 3 350 933 126 666 773 60 783 813 786
1 24 1 1 1 16 3 350 933 126 666 773 60 783 806 785
1 24 1 1 1 16 3 350 933 126 666 773 60 783 802 784
1 24 1 1 1 16 3 350 933 126 666 773 60 783 791 783
1 24 1 1 1 16 3 350 933 126 666 773 60 783 787 785
1 24 1 1 1 16 3 350 933 126 666 773 60 783 775 794
1 24 1 1 1 16 3 350 933 126 666 773 60 783 766 807
1 24 1 1 1 16 3 350 933 126 666 773 60 783 755 844
1 24 1 1 1 16 3 350 933 126 666 773 60 783 753 850
1 24 1 1 1 16 3 350 933 126 666 773 60 783 753 851
1 24 1 1 1 16 3 350 933 126 666 773 60 783 753 850
1 24 1 1 1 16 3 350 933 126 666 773 60 783 752 844
1 24 1 1 1 16 3 350 933 126 666 773 60 783 748 825
1 24 1 1 1 16 3 350 933 126 666 773 60 783 728 799
1 24 1 1 1 16 3 350 933 126 666 773 60 783 696 780
1 24 1 1 1 16 3 350 933 126 666 773 60 783 688 777
1 24 1 1 1 16 3 350 933 126 666 773 60 783 680 774
1 24 1 1 1 16 3 350 933 126 666 773 60 783 678 774
1 24 1 1 1 16 3 350 933 126 666 773 60 783 673 773
1 24 1 1 1 16 3 350 933 126 666 773 60 783 671 773
1 24 1 1 1 16 3 350 933 126 666 773 60 783 671 773
1 24 1 1 1 16 3 350 933 126 666 773 60 783 671 773
1 24 1 1 1 16 3 350 933 126 666 773 60 783 665 775
1 24 1 1 1 16 3 350 933 126 666 773 60 783 665 775
1 24 1 1 1 16 3 350 933 126 666 773 60 783 664 775
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 985 378
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1025 309
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1032 294
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1033 291
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1033 289
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1034 279
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1036 275
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1038 270
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1038 270
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1038 262
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1039 256
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1043 243
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1044 241
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1044 240
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1044 238
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1045 233
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1046 230
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1046 226
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1046 225
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1047 224
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1047 222
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1047 221
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1047 220
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1047 220
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1047 220
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1047 220
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1047 220
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1044 225
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1029 236
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1029 236
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1029 236
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1029 236
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1029 236
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1031 234
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1032 233
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1034 229
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1035 228
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1035 227
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1035 226
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1035 225
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1035 225
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1035 225
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1036 223
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1036 222
1 24 1 1 1 16 4 350 666 773 1047 202 60 1157 1036 221
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 901 413
1 24 1 1 1 16 5 350 1047 202 552 697 60 639 852 477
