"DeviceNumber" "UserId" "Block" "Sequence" "CircleID" "ErrorRate" "TRE" "TAC" "MDC" "ODC" "MV" "ME" "MO" "ClickPointX" "ClickPointY" "MovementTime" "TargetWidth" "Distance" "CalculatedDistance"
2 24 1 1 1 0 0 1 1 3 29.9846313300874 40.7597066059063 -40.0583155612503 694.077622797043 3.64054012553019 0.754 60 700 711.158210245793
2 24 1 1 2 0 1 3 4 1 5.11027141998229 4.21697497453159 0.679739907646161 650.532351660541 -0.812060962166186 1.026 60 700 671.131879737507
2 24 1 1 3 0 0 0 4 0 6.19353178061238 7.80815508046583 7.80815508046583 650.233644890858 2.49139558275442 0.904 60 700 679.538814196805
2 24 1 1 4 0 0 1 2 1 17.2498207456863 18.1479033798418 18.0894555942238 665.765856737692 5.72922353610795 0.864 60 700 658.204375555192
2 24 1 1 5 0 0 2 4 0 14.8840110521287 13.6164508822838 -12.2925900641318 695.822939659251 2.90459015325882 1.071 60 700 708.533697152083
2 24 1 1 6 0 0 2 7 1 4.02563208498906 2.7676518016125 0.643036608744201 693.397308684417 0.415101441955869 0.827 60 700 674.533913157819
2 24 1 1 7 0 0 2 7 0 10.8493756160413 11.8973801073675 10.4688443896074 713.388064120202 -3.23573343012026 1.21 60 700 718.538795055632
2 24 1 1 8 0 0 1 6 0 8.19185068337231 12.6573985391508 12.1717387031817 693.263987237061 11.5777372647833 1.086 60 700 681.307566375128
2 24 1 1 9 0 0 1 2 0 12.7830562086366 20.3757447883351 19.9989364868383 712.27114799698 17.0238577021981 0.791 60 700 714.056720436129
2 24 1 1 10 0 0 0 3 0 12.7448035167815 22.8283326864562 -22.8283326864562 688.950599990763 -16.7054114695794 0.896 60 700 687.561633600945
2 24 1 1 11 0 0 0 3 0 6.11246373572912 10.6709061373579 -10.6709061373579 680.909360395941 -7.10231829688556 0.85 60 700 698.64511735215
2 24 1 1 12 0 0 0 3 0 8.58604286263343 15.5539020141381 -15.5539020141381 655.445217952875 -14.7501275488826 1.003 60 700 667.587447455388
2 24 1 1 13 0 0 1 1 0 18.1345860872226 17.0846571011672 -16.5219904415308 672.541137889606 1.19073345205624 1.127 60 700 685.291908605377
2 24 1 1 14 0 0 1 6 0 14.6365315360188 13.8190352371685 12.6451343606649 652.329968811547 -1.26956304521428 1.613 60 700 674.247728954277
2 24 1 1 15 0 0 9 10 0 7.86716865349165 5.64970606926465 1.35886713634701 675.224923388292 -3.36196895817022 1.568 60 700 678.174018965634
2 24 1 2 1 0 0 1 5 0 7.24319657585233 6.6906656069616 3.43373185473223 700.999264688352 -6.0853024895482 1.099 60 700 696.103440589112
2 24 1 2 2 0 0 1 2 0 18.9288793475337 24.0599352211677 -24.0227099474887 691.517571375032 -12.347002858083 0.87 60 700 690.774927165137
2 24 1 2 3 0 0 3 8 0 6.61257201733207 5.1344119969609 2.6481249044298 678.150558611145 3.580482564129 1.159 60 700 698.22990483078
2 24 1 2 4 0 0 0 1 0 12.8143907976256 17.0491105284505 17.0491105284505 673.928534646902 16.2889591036151 1.011 60 700 667.630137126838
2 24 1 2 5 0 0 0 3 1 32.0942677195846 33.2844830960996 -33.2844830960996 731.22503450884 -3.9936083366207 1.424 60 700 709.383535190943
2 24 1 2 6 0 0 1 6 0 11.0589447333908 18.4826325918947 18.1562437576928 719.248243544312 21.4933514934868 1.192 60 700 707.288484283464
2 24 1 2 7 0 0 1 3 3 20.7608641791254 19.9001834856058 -19.5731678207299 702.022138420357 0.957688732850926 1.05 60 700 716.307894693336
2 24 1 2 8 0 1 0 4 1 4.34012430816046 5.28045297526959 -5.28045297526959 675.015338605271 -4.72150903955912 1.041 60 700 673.089889984986
2 24 1 2 9 0 0 1 5 2 3.9807572315121 3.75454072913466 -2.11830764063972 710.99617961866 3.07124855237184 0.902 60 700 701.017831442254
2 24 1 2 10 0 0 1 2 0 22.0870789508375 18.9242011549332 -4.0951987616761 700.314397185144 19.6149202192902 1.108 60 700 696.408644403557
2 24 1 2 11 0 -1 1 1 1 36.0736256920458 31.3356826781356 -28.6079112969281 737.035149271168 6.72225697417565 1.134 60 700 707.797993780711
2 24 1 2 12 0 0 2 6 2 23.2553260900968 19.2386966010492 -0.416289819479099 716.32953637153 -25.238766248553 1.205 60 700 716.397934112041
2 24 1 2 13 0 0 0 1 2 34.5763339658841 34.7261170051586 -34.7261170051586 698.023808298549 -10.524402519383 1.126 60 700 695.526419340056
2 24 1 2 14 0 0 1 2 1 19.3789682346838 21.303557551069 21.2327506952717 688.745164720176 0.313168607926173 0.929 60 700 686.531135492047
2 24 1 2 15 0 0 1 4 0 12.1011746074624 10.8925218439337 3.18769657417551 727.895209038366 -9.92797355923929 0.861 60 700 702.157389763862
2 24 1 3 1 0 0 1 2 0 9.40771033370761 15.1233001869554 -14.1905435044687 685.929851598174 -17.9231327202287 0.767 60 700 704.006392016436
2 24 1 3 2 0 0 2 4 1 6.73670062139309 6.02456417158339 -5.04567903346451 661.961734482968 -11.4744098018206 0.851 60 700 666.003753743175
2 24 1 3 3 0 0 1 1 2 31.636637305275 36.6793809631393 31.3145348899266 693.253276399427 -11.7002034793976 0.824 60 700 693.577681301814
2 24 1 3 4 0 0 0 1 1 6.96071337289941 12.0768562583061 -12.0768562583061 679.428981121805 -6.72752642398876 0.863 60 700 683.757998125068
2 24 1 3 5 0 0 2 2 0 10.3595163928275 8.73604319338856 -4.77580057832612 685.15797461139 6.28886527271914 1.025 60 700 694.401900919057
2 24 1 3 6 0 0 3 7 0 14.1832034007654 10.9532741678582 8.48397612126034 661.74257605659 -5.07572989708046 1.348 60 700 678.720119047609
2 24 1 3 7 0 1 0 8 1 3.13056239581272 5.78546278761633 -5.78546278761633 692.995106391959 -7.46876942993637 0.817 60 700 682.30784840862
2 24 1 3 8 0 0 1 3 0 6.7509473327779 5.96286355966831 2.27351682524407 715.211758353464 6.09431808700475 0.788 60 700 696.058187222879
2 24 1 3 9 0 0 1 2 0 16.1864298025563 26.153371322054 26.1519824385234 714.033356358106 11.0166241643275 0.829 60 700 720.002777772419
2 24 1 3 10 0 0 3 13 0 7.77762230389239 6.20358427125714 3.46455988760512 664.561540875439 2.82106172597236 1.257 60 700 682.367203197809
2 24 1 3 11 0 0 0 1 1 8.7904676278774 15.7666730515554 -15.7666730515554 684.421812638256 -9.3157063588265 0.832 60 700 682.932646752226
2 24 1 3 12 0 0 1 6 0 14.7954511070457 10.9494757267997 0.367987644280084 688.902145544213 28.050559077849 1.681 60 700 686.225181700584
2 24 1 3 13 0 0 2 3 0 21.2095175029004 16.5936561685323 12.4485202997672 698.136572467769 -7.3706297529626 0.945 60 700 709.030323752095
2 24 1 3 14 0.5 0 0 5 0 10.8639431206829 18.3296319467503 -18.3296319467503 668.812241153173 -11.1438809967358 1.556 60 700 674.540584398003
2 24 1 3 15 0 0 1 6 0 14.8650319658093 14.017242801261 12.7481280946807 671.366917339878 5.24044860198276 1.231 60 700 692.11631970356
2 24 1 4 1 0 0 0 9 0 15.4346483886467 20.1935796685583 20.1935796685583 688.100508832844 5.53983248677575 1.064 60 700 705.255981895935
2 24 1 4 2 0 0 1 4 0 4.14315217708302 5.03169566681601 3.76697769522004 669.642897660014 5.51267752546693 0.805 60 700 671.542999367874
2 24 1 4 3 0 0 0 3 2 21.1060304969919 28.4211794282774 28.4211794282774 691.818476234615 8.49681942939705 0.856 60 700 699.085116420025
2 24 1 4 4 0 0 1 3 0 6.12974174718968 9.0991005958092 -9.08252077464672 674.785315343617 -5.45694022466887 0.772 60 700 680.967693800521
2 24 1 4 5 0.5 1 1 2 3 30.2861263717796 26.1122516578533 3.28103308249166 697.150927984792 11.3394713255875 1.598 60 700 692.977633116683
2 24 1 4 6 0 0 1 2 0 33.9276544348981 35.3036197173519 34.0637494791743 699.961405791777 9.32900862898015 0.799 60 700 692.8924880528
2 24 1 4 7 0 0 1 6 0 4.45741531124974 8.21919326261865 -8.20016006507462 706.19744900942 -7.42718066215548 0.982 60 700 708.61343481478
2 24 1 4 8 0 0 2 2 1 12.0853387884883 8.67697044859439 3.41671627111815 697.605183488559 -0.089274262202224 0.756 60 700 683.287640748755
2 24 1 4 9 0 0 1 2 0 19.8652477572817 18.9952705036119 16.7223013714726 721.023047278926 -3.97055318714925 0.889 60 700 714.006302493192
2 24 1 4 10 0 0 1 2 0 6.84571280929027 6.62424036357283 -3.64027485825885 688.943495718476 4.67543657926073 0.702 60 700 692.12787835775
2 24 1 4 11 0 0 0 2 0 4.19381103433862 5.22747277424716 -5.22747277424716 672.986243688201 -4.74508234333049 0.493 60 700 697.775035380315
2 24 1 4 12 0 0 1 4 0 4.02796391155264 4.21353396381371 -4.20095358276271 642.61988811642 -0.824255567221371 1.105 60 700 661.202692069535
2 24 1 4 13 0 0 1 6 0 11.4180438907075 9.77275751725696 -3.13427517172168 666.135798209554 8.5497569392906 1.221 60 700 681.656805144642
2 24 1 4 14 0 0 1 10 0 3.92193481723443 3.08927413981368 -2.55190446673158 661.167644457008 -7.57270910383903 1.054 60 700 672.94279103056
