"NumberDevice" "UserId" "Block" "Sequence" "NumberClicks" "NumberCircles" "CircleID" "DistanceCenter" "PixelStartCircleX" "PixelStartCircleY" "PixelEndCircleX" "PixelEndCircleY" "TargetWidth" "ElapsedTime" "MouseX" "MouseY" "targetx" "targety" "rx" "ry" "inside"
2 24 1 1 1 16 1 350 799 100 800 800 60 754 785 89 711.158210245793 6.21724893790088e-14 0 0 FALSE
2 24 1 1 1 16 1 350 799 100 800 800 60 754 814 307 711.158210245793 6.21724893790088e-14 218.563180120326 -24.3954154645895 FALSE
2 24 1 1 1 16 1 350 799 100 800 800 60 754 848 508 711.158210245793 6.21724893790088e-14 420.235603968783 -54.1482885878385 FALSE
2 24 1 1 1 16 1 350 799 100 800 800 60 754 855 553 711.158210245793 6.21724893790088e-14 465.37323936064 -60.1975754244668 FALSE
2 24 1 1 1 16 1 350 799 100 800 800 60 754 865 627 711.158210245793 6.21724893790088e-14 539.56770022718 -68.6345166192064 FALSE
2 24 1 1 1 16 1 350 799 100 800 800 60 754 866 643 711.158210245793 6.21724893790088e-14 555.585233085393 -69.2968165029934 FALSE
2 24 1 1 1 16 1 350 799 100 800 800 60 754 866 646 711.158210245793 6.21724893790088e-14 558.584565680123 -69.2335394440329 FALSE
2 24 1 1 1 16 1 350 799 100 800 800 60 754 866 646 711.158210245793 6.21724893790088e-14 558.584565680123 -69.2335394440329 FALSE
2 24 1 1 1 16 1 350 799 100 800 800 60 754 866 646 711.158210245793 6.21724893790088e-14 558.584565680123 -69.2335394440329 FALSE
2 24 1 1 1 16 1 350 799 100 800 800 60 754 866 646 711.158210245793 6.21724893790088e-14 558.584565680123 -69.2335394440329 FALSE
2 24 1 1 1 16 1 350 799 100 800 800 60 754 866 646 711.158210245793 6.21724893790088e-14 558.584565680123 -69.2335394440329 FALSE
2 24 1 1 1 16 1 350 799 100 800 800 60 754 866 646 711.158210245793 6.21724893790088e-14 558.584565680123 -69.2335394440329 FALSE
2 24 1 1 1 16 1 350 799 100 800 800 60 754 866 646 711.158210245793 6.21724893790088e-14 558.584565680123 -69.2335394440329 FALSE
2 24 1 1 1 16 1 350 799 100 800 800 60 754 865 650 711.158210245793 6.21724893790088e-14 562.562583453443 -68.1493925005088 FALSE
2 24 1 1 1 16 1 350 799 100 800 800 60 754 864 658 711.158210245793 6.21724893790088e-14 570.539711353069 -66.9808761450374 FALSE
2 24 1 1 1 16 1 350 799 100 800 800 60 754 859 675 711.158210245793 6.21724893790088e-14 587.430467624937 -61.6234184863778 FALSE
2 24 1 1 1 16 1 350 799 100 800 800 60 754 859 680 711.158210245793 6.21724893790088e-14 592.429355282821 -61.5179567214435 FALSE
2 24 1 1 1 16 1 350 799 100 800 800 60 754 850 708 711.158210245793 6.21724893790088e-14 620.233294990085 -51.929373053622 FALSE
2 24 1 1 1 16 1 350 799 100 800 800 60 754 846 719 711.158210245793 6.21724893790088e-14 631.146478425481 -47.6982470444601 FALSE
2 24 1 1 1 16 1 350 799 100 800 800 60 754 831 742 711.158210245793 6.21724893790088e-14 653.824976356941 -32.216459952113 FALSE
