NumberDevice UserId Block Sequence NumberClicks NumberCircles CircleID DistanceCenter PixelStartCircleX PixelStartCircleY PixelEndCircleX PixelEndCircleY TargetWidth ElapsedTime MouseX MouseY
2 24 1 1 1 16 1 350 799 100 800 800 60 754 785 89
2 24 1 1 1 16 1 350 799 100 800 800 60 754 814 307
2 24 1 1 1 16 1 350 799 100 800 800 60 754 848 508
2 24 1 1 1 16 1 350 799 100 800 800 60 754 855 553
2 24 1 1 1 16 1 350 799 100 800 800 60 754 865 627
2 24 1 1 1 16 1 350 799 100 800 800 60 754 866 643
2 24 1 1 1 16 1 350 799 100 800 800 60 754 866 646
2 24 1 1 1 16 1 350 799 100 800 800 60 754 866 646
2 24 1 1 1 16 1 350 799 100 800 800 60 754 866 646
2 24 1 1 1 16 1 350 799 100 800 800 60 754 866 646
2 24 1 1 1 16 1 350 799 100 800 800 60 754 866 646
2 24 1 1 1 16 1 350 799 100 800 800 60 754 866 646
2 24 1 1 1 16 1 350 799 100 800 800 60 754 866 646
2 24 1 1 1 16 1 350 799 100 800 800 60 754 865 650
2 24 1 1 1 16 1 350 799 100 800 800 60 754 864 658
2 24 1 1 1 16 1 350 799 100 800 800 60 754 859 675
2 24 1 1 1 16 1 350 799 100 800 800 60 754 859 680
2 24 1 1 1 16 1 350 799 100 800 800 60 754 850 708
2 24 1 1 1 16 1 350 799 100 800 800 60 754 846 719
2 24 1 1 1 16 1 350 799 100 800 800 60 754 831 742
2 24 1 1 1 16 1 350 799 100 800 800 60 754 828 747
2 24 1 1 1 16 1 350 799 100 800 800 60 754 815 763
2 24 1 1 1 16 1 350 799 100 800 800 60 754 811 769
2 24 1 1 1 16 1 350 799 100 800 800 60 754 802 778
2 24 1 1 1 16 1 350 799 100 800 800 60 754 801 779
2 24 1 1 1 16 1 350 799 100 800 800 60 754 800 781
2 24 1 1 1 16 1 350 799 100 800 800 60 754 799 781
2 24 1 1 1 16 1 350 799 100 800 800 60 754 797 783
2 24 1 1 1 16 1 350 799 100 800 800 60 754 796 783
2 24 1 1 1 16 1 350 799 100 800 800 60 754 796 783
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 796 783
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 918 228
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 934 157
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 942 113
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 943 107
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 943 107
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 943 107
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 943 107
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 943 107
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 943 107
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 943 107
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 943 107
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 943 107
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 943 106
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 945 73
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 949 29
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 955 0
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 962 0
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 963 0
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 964 0
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 964 0
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 964 0
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 959 5
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 945 29
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 942 34
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 939 46
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 937 61
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 932 96
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 931 106
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 928 136
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 928 141
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 928 145
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 928 145
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 928 146
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 928 146
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 928 146
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 928 146
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 928 146
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 928 146
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 928 146
2 24 1 1 1 16 2 350 800 800 933 126 60 1026 928 146
2 24 1 1 1 16 3 350 933 126 666 773 60 904 928 146
2 24 1 1 1 16 3 350 933 126 666 773 60 904 928 146
2 24 1 1 1 16 3 350 933 126 666 773 60 904 928 146
2 24 1 1 1 16 3 350 933 126 666 773 60 904 928 146
2 24 1 1 1 16 3 350 933 126 666 773 60 904 928 146
2 24 1 1 1 16 3 350 933 126 666 773 60 904 910 180
2 24 1 1 1 16 3 350 933 126 666 773 60 904 895 215
2 24 1 1 1 16 3 350 933 126 666 773 60 904 824 364
2 24 1 1 1 16 3 350 933 126 666 773 60 904 810 394
2 24 1 1 1 16 3 350 933 126 666 773 60 904 738 557
2 24 1 1 1 16 3 350 933 126 666 773 60 904 720 601
2 24 1 1 1 16 3 350 933 126 666 773 60 904 699 655
2 24 1 1 1 16 3 350 933 126 666 773 60 904 693 672
2 24 1 1 1 16 3 350 933 126 666 773 60 904 692 674
2 24 1 1 1 16 3 350 933 126 666 773 60 904 692 674
2 24 1 1 1 16 3 350 933 126 666 773 60 904 692 674
2 24 1 1 1 16 3 350 933 126 666 773 60 904 692 674
2 24 1 1 1 16 3 350 933 126 666 773 60 904 692 674
2 24 1 1 1 16 3 350 933 126 666 773 60 904 692 674
2 24 1 1 1 16 3 350 933 126 666 773 60 904 692 674
